front,back,
five,חָמֵשׁ,
least,הכי פחות,
town,העיר,
aren't,לא,
ha,חה,
working,עובד,
year,שָׁנָה,
makes,עושה,
taking,לְקִיחָה,
means,אומר,
brother,אָח,
play,לְשַׂחֵק,
hate,שִׂנאָה,
ago,לִפנֵי,
says,אומר,
beautiful,יפה,
gave,נתן,
fact,עוּבדָה,
crazy,מְטוּרָף,
party,מפלגה,
sit,לָשֶׁבֶת,
open,לִפְתוֹחַ,
afraid,חוֹשֵׁשׁ,
between,בֵּין,
important,חָשׁוּב,
rest,מנוחה,
fun,כֵּיף,
kid,יֶלֶד,
word,מִלָה,
watch,שעון,
glad,שַׂמֵחַ,
everyone,כל אחד,
days,ימים,
sister,אָחוֹת,
minutes,דקות,
everybody,כולם,
bit,קצת,
couple,זוּג,
whoa,וואו,
either,אוֹ,
Mrs.,גברת.,
feeling,מַרגִישׁ,
daughter,בַּת,
wow,וואו,
gets,מקבל,
asked,נשאל,
under,תַחַת,
break,לשבור,
promise,הַבטָחָה,
door,דלת,
set,מַעֲרֶכֶת,
close,סגור,
hand,יד,
easy,קַל,
question,שְׁאֵלָה,
doctor,דוֹקטוֹר,
tried,ניסה,
far,רָחוֹק,
walk,לָלֶכֶת,
needs,צרכי,
trouble,צרה,
mine,שלי,
though,עם זאת,
times,פִּי,
different,שונה,
killed,נהרג,
hospital,בית חולים,
anybody,מִישֶׁהוּ,
Sam or SAM,סם או סם,
alright,בְּסֵדֶר,
wedding,חֲתוּנָה,
shut,לִסְגוֹר,
able,יכול,
die,לָמוּת,
perfect,מושלם,
police,מִשׁטָרָה,
stand,לַעֲמוֹד,
comes,מגיע,
hit,מכה,
story,כַּתָבָה,
ya,כן,
mm,"מ""מ",
waiting,הַמתָנָה,
dinner,אֲרוּחַת עֶרֶב,
against,נגד,
funny,מצחיק,
husband,בַּעַל,
almost,כִּמעַט,
stupid,מְטוּפָּשׁ,
pay,לְשַׁלֵם,
answer,תשובה,
four,ארבע,
office,מִשׂרָד,
cool,מגניב,
eyes,עיניים,
news,חֲדָשׁוֹת,
child,יֶלֶד,
shouldn't,לא צריך,
half,חֲצִי,
side,צַד,
yours,שלך,
moment,רֶגַע,
sleep,לִישׁוֹן,
read,לקרוא,
where's,איפה,
started,התחיל,
young,צָעִיר,
men,גברים,
sounds,צלילים,
sonny or Sonny,סוני או סוני,
lucky,בַּר מַזָל,
pick,לִבחוֹר,
sometimes,לִפְעָמִים,
em,EM,
bed,מיטה,
also,גַם,
date,תַאֲרִיך,
line,קַו,
plan,לְתַכְנֵן,
hours,שעה (ות,
lose,לאבד,
fire,אֵשׁ,
free,חינם,
hands,ידיים,
serious,רְצִינִי,
Leo,מַזַל אַריֵה,
shit,לְחַרְבֵּן,
behind,מֵאָחוֹר,
inside,בְּתוֹך,
high,גָבוֹהַ,
ahead,קָדִימָה,
week,שָׁבוּעַ,
wonderful,נִפלָא,
T.,ט.,
fight,מַאֲבָק,
past,עבר,
cut,גזירה,
quite,דַי,
number,מספר,
he'll,גֵיהִנוֹם,
sick,חוֹלֶה,
S.,שׁוֹפ,
it'll,זה יהיה,
game,מִשְׂחָק,
eat,לאכול,
nobody,אף אחד,
goes,הולך,
death,מוות,
along,לְאוֹרֶך,
save,לשמור,
seems,נראה,
finally,סוף כל סוף,
lives,חיים,
worried,מוּדְאָג,
upset,עצבני,
Theresa,יש,
Carly,קרלי,
Ethan,איתן,
met,נפגש,
book,סֵפֶר,
brought,הביא,
seem,נראה,
sort,סוג,
safe,בטוח,
living,חַי,
children,יְלָדִים,
weren't,לא היו,
leaving,עֲזִיבָה,
front,חֲזִית,
shot,בְּעִיטָה,
loved,אהוב,
asking,לשאול,
running,רץ,
clear,ברור,
figure,דמות,
hot,חַם,
felt,הרגיש,
six,שֵׁשׁ,
parents,הורים,
drink,לִשְׁתוֹת,
absolutely,בהחלט,
how's,איך זה,
daddy,אַבָּא,
sweet,מתוק,
alive,בחיים,
Paul,פול,
sense,לָחוּשׁ,
meant,התכוון,
happens,קורה,
David,דוד,
special,מיוחד,
bet,לְהַמֵר,
blood,דָם,
ain't,לא,
kidding,צוחק,
lie,שקר,
full,מלא,
meeting,פְּגִישָׁה,
dear,יָקָר,
coffee,קפה,
seeing,רְאִיָה,
sound,נשמע,
fault,אשמה,
water,מים,
fuck,זִיוּן,
ten,עשר,
women,נשים,
John or john,ג'ון או ג'ון,
welcome,ברוך הבא,
buy,לִקְנוֹת,
months,חודשים,
hour,שָׁעָה,
speak,לְדַבֵּר,
lady,גברת,
Jen,ג'ן,
thinks,חושב,
Christmas,חַג הַמוֹלָד,
body,גוּף,
order,להזמין,
outside,בחוץ,
hang,לִתְלוֹת,
possible,אפשרי,
worse,רע יותר,
company,חֶברָה,
mistake,טעות,
ooh,אה,
handle,ידית,
spend,לְבַלוֹת,
C.,ג,
totally,לְגַמרֵי,
giving,מַתָן,
control,לִשְׁלוֹט,
here's,הנה,
marriage,נישואים,
realize,לִהַבִין,
D.,ד.,
power,כּוֹחַ,
president,נָשִׂיא,
unless,אֶלָא אִם,
sex,מִין,
girls,בנות,
send,לִשְׁלוֹחַ,
needed,נָחוּץ,
O. or o,O. או O.,
taken,נלקח,
died,נפטר,
scared,מפוחד,
picture,תְמוּנָה,
talked,דיבר,
Jake,ג'ייק,
